"","Dem","Rep","Ind","Unk","pbin1","pbin2","pbin3","pbin4","pbin5","pbin6","pbin7","pbin8","pbin9","pbin10","pbin11","pbin12","pbin13","pbin14","pbin15","pbin16","pbin17","pbin18","pbin19","pbin20","wbin1","wbin2","wbin3","wbin4","wbin5","wbin6","wbin7","wbin8","wbin9","wbin10","wbin11","wbin12","wbin13","wbin14","wbin15","wbin16","wbin17","wbin18","wbin19","wbin20","wbin21","wbin22","wbin23","wbin24","wbin25","wbin26","wbin27","wbin28","wbin29","wbin30","wbin31","wbin32","wbin33","wbin34","wbin35","wbin36","wbin37","wbin38","wbin39","wbin40"
"2008",21,12,0,0,12,0,1,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,34,0,164,20,28,11,1,1,0,20,217
"2009",24,15,0,0,0,2,2,6,7,1,3,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,37,46,73,55,61,38,7,5,5,3,3,14,28,20,20,56,99,162
"2010",24,16,0,0,0,1,2,7,6,9,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,23,59,67,80,47,30,27,13,4,12,21,15,76,108,168
"2011",24,15,0,0,0,0,5,7,5,3,5,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,22,72,96,56,48,26,18,2,1,1,16,29,61,80,194
"2012",24,15,0,0,0,1,6,7,4,8,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,54,73,70,77,24,8,3,1,7,34,72,94,197
"2013",28,12,0,0,1,1,7,8,6,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,31,47,71,71,48,17,19,6,13,10,54,128,244
"2014",27,12,0,0,1,3,7,7,3,6,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,33,60,85,58,32,11,11,16,8,5,36,80,296
"2015",26,14,0,0,1,1,8,8,4,9,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,71,83,106,29,17,17,10,12,27,105,271
"2016",26,14,0,0,0,2,9,11,2,1,5,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,68,111,49,40,13,20,5,25,29,15,39,85,273
"2017",27,13,0,0,1,0,0,0,0,2,1,5,6,7,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,26,21,63,56,68,59,25,20,27,51,360
