"","VotesAgainst2014","VotesAgainst2015","VotesAgainst2016","VotesAgainst2017"
"Ruggerio",0.00458715596330275,0,0.00278551532033426,0
"Prata",NA,NA,0.00558659217877095,0
"Goldin",0.0171073094867807,0.00466200466200466,0.00441176470588235,0
"Satchell",0.00759878419452888,0.00705882352941176,0.00727802037845706,0
"Nesselbush",0.00736377025036819,0.00233644859813084,0.00175131348511384,0.0512820512820513
"Picard",0.00906344410876133,0.00909090909090909,0.00564174894217207,0
"Calkin",NA,NA,NA,0.0444444444444444
"Archambault",0.00439882697947214,0.00226244343891403,0.00278940027894003,0
"Cote",0.0345368916797488,0.0158371040723982,0.0169971671388102,0
"Kettle",0.032258064516129,0.0453514739229025,0.0684039087947883,0.0444444444444444
"Rumsey",0.00618238021638331,NA,NA,NA
"Raptakis",0.0259541984732824,0.012853470437018,0.0380622837370242,0
"Seveney",NA,NA,NA,0
"Crowley",0.00494233937397035,0,0.00341296928327645,0
"Algiere",0.0118518518518519,0,0.057909604519774,0.0222222222222222
"Jabour",0.00439238653001464,0.0136363636363636,0.0140056022408964,0
"Ponte",0.0069204152249135,0,0.00290275761973875,0
"Pagliarini",NA,NA,0.204166666666667,NA
"Gallo",0.00441826215022091,0.00253807106598985,0.00564174894217207,0
"Coyne",NA,0.00460829493087558,0.00282087447108604,0
"Morgan",NA,0.0666666666666667,0.194950911640954,0.0714285714285714
"Metts",0.0148588410104012,0.0046189376443418,0.0127659574468085,0.0238095238095238
"Sosnowski",0,0,0.00278551532033426,0
"Gee",NA,0.045662100456621,0.0793871866295265,0.0454545454545455
"Lynch",0.00441826215022091,0,NA,NA
"Neill",0.03725782414307,0.0344036697247706,0.168110918544194,NA
"Doyle",0.00157728706624606,0,0,0
"Goodwin",0.00146198830409357,0,0.00145137880986938,0
"Ciccone",0.0142857142857143,0,0.00734214390602056,0
"Weed",0.00147058823529412,0,0.00301659125188537,0
"Conley",0.00293255131964809,0,0.00426136363636364,0
"Hodgson",0.0271084337349398,NA,NA,NA
"Lombardo",0.00470957613814757,0,0.00514579759862779,0
"Felag",0.00903614457831325,0,0.0154277699859748,0
"Walaska",0.00762195121951219,0.00235294117647059,0.00316455696202532,NA
"Pearson",0.0104947526236882,0.00253164556962025,0.00721500721500722,0
"Paolino",NA,NA,NA,0.0454545454545455
"Pichardo",0.00914634146341463,0.00536193029490617,0.00157232704402516,NA
"Sheehan",0.0155339805825243,0,0.0151057401812689,0.0238095238095238
"Fogarty",0.0065359477124183,0.00458715596330275,0.00417827298050139,0
"Miller",0.0105580693815988,0.00233100233100233,0.00160771704180064,0
"DiPalma",0.011437908496732,0.0023696682464455,0.00561009817671809,0
"McCaffrey",0.00603318250377074,0,0.00141643059490085,0
"Quezada",NA,NA,NA,0
"Bates",0.0193452380952381,NA,NA,NA
"Ottiano",0.0104166666666667,0,NA,NA
"Lombardi",0.00444444444444444,0.00226757369614512,0.00179856115107914,0
